climbing,panjat
rope,tali
scared,serum
hold up,sebentar ya
both,dua duanya
memorize,hafal
formal,baku
reason,alasan
different,berbeda
countryside,pinggir kota
history,sejarah
accent,aksen
capital,ibu kota
fight,perang
soon,segara
often,sering
seldom,jurang
sometimes,karang karang
avoid,hindari
die,meninggal:memati
stay safe,tetap aman
heavily,derus:gede
thunder,petir
lightning,kilat
heatwave,gelombang udara panas
talk,bicara:ngomong
drunk,marbok
bracelet,kelang
youngest,bungsa
father,ayah:bapak:bokap
oldest,salung
sibling,bersudara
the parents of your childs spouse,besan
turn on,nyalain:menyalakan
divorce,cerai
straight away,langsung
practice,latihan
free time,waktu luang:senggang
university student,manhasiswa
study in university,kuliah
easy,mudah:gampang
hard,sulit:susah
swimming,bernang
diving,menyelam
poisonous,beracun
jellyfish,ubur ubur
licence,surat ijin
mention,menyebutkan
vocabulary,kosakata
related,berkaitan
activities,kegiatan
short,pendek:singkat
meeting,bertemu:rapat
prepare,menyiapkan
shop,toko
shopping,berbelanja
magazine,majalah
pick up,menjemput
based on,berdasarkan
busy,sibuk
earlier,lebih awal
later,lebih lambat
list,daftar
next,selanjutnya
dance,tari
sunny,cerah
cloudy,mendung
view,permandungan
neighbour,tetangga
bargain,tawar
salary,gaji
exercise,berolahraga
except,kecuali
temperature,suhu
lunchbox,bakal
dry clothes,menjemur
expression,ungkapan
certain,pasti
believe,percaya
warehouse,gudung
lucky,beruntung
btw,ngomong
quite:reasonable,lumayan
pay it off,mengangsurnya
until,selama
brand,merek
so that,supaya
rough language,kasar
interest,suku bunga
nervous,grogi
sign,tanda
beginner,permula
space,laku
adjacent,sebelumnya
roundabout,bundaran
wedding,pernikahan
across,seberang
through,lewat
tired,capek:ngantuk
powder,bubuk
wrap,bungkus
nervous,gugup:grogi
culture,budaya
excited,seru
confident,percaya diri
less,kurang
answer,jawab
show,tunjukkan
friendly,ramah
survive,bertahan
regret,kapok
safe,aman
calm,tenang
cool temperature,sejuk
too hot,adem
leech,lintah
cage,kandang
village,desa
pet,peliharaan
wave,ombak
sky,langit
atomosphere,suasana
comfortable,nyaman
list,daftar
of course,tentu
cry,nangis
happy to,hebat
travel around,keliling
peircing,tindikan
healed,sembuh:pulih
swollen,bengkak
follow the rules,tertis
loud,kencang
opinion,pendapat
favourite,kegemaran
camping,berkeman
gardening,berkebun
fishing,memancing
exercise,berolahraga
travel,berwista
adventure,petualangan
real,nyata
almost,hampir
apparently,ternyata
plant,menanam
decorate,hias
organized,teratu
one time only,sekalian
hike,mendaki
magic,sulap
comfortable,betas
miss,kangan:rindu
shrimp,udang
history,serajah
adventure,penjelajahan
war,perang
scifi,fiksi ilmiah
for example,misalnya
fight,berkelahi
download,mengunduh
overtime,lembur
reprimand,menegur
main idea,inti
reply,balas
action,laga
faithful,setia
weekend,akir pekan
violance,kekerasan
sin,adegan
schedule,jadual
open minded,biterbuka
buy food,jajan
run,lari
use weights,angkat beban
bitter,pahit
salty,asin
sour,asam
global warming,permanasan global
easy,mudah:gampang
sheep,domba
vomit,muntah
sunset,terbenam
sunrise,terbit
light,cahaya
fireplace,perapian
crime,kiminal
hope,madah madahnya:semoga
exactly,tepat
raindrop,tetes
drizzle,gerimis
reading material,bacaan
expression,ungkapan
employee,karyawan
security,satpam
soldier,tentara:prajurit
base,pangkalan
patrol,berkeliling
approx,kira kira
deliver,mengantar
figure,kokol
all day,sepanjang hari:seharian
train line,rel kereta
statue,patung
curious,penasaran
kettle,teko
adapt,adaptasi
bankrupt,bangkrut
depend,tergantung
saving,menabung
guest,tamu
house on stilts,rumah panjang
dove,merpati
inhabit,warga
invite,mengundang
party,syukuram
invited,dinndang
neighbour,tetangga
flooding,banjir
earthquake,gempa bumi
match,cocokkan
hallway,lorong
experience,mengahumi
drive,menyetir
independance day,hari kemerdekaan
switch,bergantihan
exciting,seru
mistake,kesalahkan
ear,terlingah
permission,ijin
breath,benafas
tank,tabug
take off,lepas:copot
thing,alat
borrow,pinjam
attack,menyerang
seal,anjing laut
reef,batu karang
msg,penyedap rasa
father:mother,bokap:nyokap
guess,tebak
hard,sulit:susah
easy,mudah:gampang
then,trus
like,seperti:kayak
teach,ajarin
speak,bicara:nyomong
chat,ngobrol
i think (uncertain),kayaknya
only,hanya:cuma
clarify,menjalaskan:jelasin
confident,pede
wear,dengar:denger
because,karena:soalnya
polite,sopan
scolded,diomelin
he:she,belian:dia
not fluent,kaku
are you serious,masa sih
i don't understand,ge ngerti
move,geruk
lazy to move,mager
overreact,lebuy
spill your heart,curhat
get coffee,nyopi
while,sambil
reply,balas:bales
tool,alat
make,buat:bikin
ask,tanya
experience,pengalaman
interview,wawancara
smile,senyum
laugh,tertawa:ketawa
lucky,beruntung
on time,tempat waktu
late,terlambat:terlat
early,lebih awal
give information,kabarin
the day after tomorrow,lusa
two faced,ular berkepula dua
secret,rahasia
intentionally,sengaja
unintentionally,ga sengaja
gossip,ember
innocent,polos
upside down,terbalik
sheep,lomba
thicker,terbal:terbel
thin,tipis
drunk with friends,mabora
difference,berdain
maybe,kayaknya
dude,cuy
yesterday evening,semalam:tadi malam
help to find,carikan:cariin
one more time,sekali lagi
less,kurang
cannot hear,ga kedengaran
slowly,pelan
talk too much,bawel
noisy,brisik
martial arts,pencak silat
swimming,renang
meet,bertemu:ketemu
vollyball,voli
flexible,lentar
sweating,keringatan
running,lari
chess,catur
good at it,jago
wrestling,gulat
archery,punaham
muscle,otot
stretch,meregangkan
lean,membungkukan
touch,menyentuh
around,memutar
neck,leher
movement,gerakan
hold,tahan
beginner,permula
heart,jantung
next,kemudian:selanjutnya
arrange,mengatur
breath,napas
clap your hands,tempuk tangan
breath in,ambil napas
breath out,buang napas
hold breath,tahan napas
jump,lompat
squat,jongkok
waist,pinggang
shoulders,punduk
bow,bungkuk
rotate,putar
shoulder,bahu
stretch,regangkan
go out:pull out,cabut
like that,gitu
lousy,payah
ok then,yaudah
let you know,kabarin
as,sebagai
I,saya:aku:gue
his,nya
that,bahwa
he,dia
was,adalah
for,untuk
on,pada
are,adalah
with,dengan
they,mereka
be,menjadi
at,di
one,satu
have,memiliki
this,ini
from,dari
by,oleh
hot,panas
word,kata
but,tapi
what,apa
some,beberapa
is,adalah
it,itu
you,anda:kamu:lu:lo
or,atau
had,memiliki
the,itu
of,dari
to,untuk
and,dan
a,sebuah
in,di
we,kami
can,bisa
out,out
other,lainnya
were,yang
which,yang
do,melakukan
their,mereka
time,waktu
if,jika
will,akan
how,bagaimana
said,kata
an,an
each,masing-masing
tell,memberitahu
does,tidak
set,kumpulan
three,tiga
want,ingin
air,udara
well,baik
also,juga
play,bermain
small,kecil
end,end
put,menempatkan
home,rumah
read,baca
hand,tangan
port,pelabuhan
large,besar
spell,mantra
add,tambahkan
even,bahkan
land,tanah
here,di sini
must,harus
big,besar
high,tinggi
such,seperti
follow,ikuti
act,tindakan
why,mengapa
ask,bertanya
men,laki-laki
change,perubahan
went,pergi
light,cahaya
kind,jenis
off,off
need,perlu
house,rumah
picture,gambar
try,coba
us,kami
again,lagi
animal,hewan
point,titik
mother,ibu
world,dunia
near,dekat
build,membangun
self,diri
earth,bumi
father,ayah
any,apapun
new,baru
work,pekerjaan
part,bagian
take,mengambil
get,mendapatkan
place,tempat
made,membuat
live,hidup
where,mana
after,setelah
back,kembali
little,sedikit
only,hanya
round,putaran
man,pria
year,tahun
came,datang
show,menunjukkan
every,setiap
good,baik
me,saya
give,memberikan
our,kami
under,di bawah
name,nama
very,sangat
through,melalui
just,hanya
form,formulir
sentence,kalimat
great,besar
think,berpikir
say,mengatakan
help,membantu
low,rendah
line,baris
differ,berbeda
turn,gilirannya
cause,penyebab
much,banyak
mean,berarti
before,sebelum
move,bergerak
right,kanan
boy,anak
old,old
too,terlalu
same,sama
she,dia
all,semua
there,ada
when,ketika
up,naik
use,penggunaan
your,Anda
way,cara
about,tentang
many,banyak
then,kemudian
them,mereka
write,menulis
would,akan
like,seperti
so,jadi
these,ini
her,dia
long,panjang
make,membuat
thing,hal
see,lihat
him,dia
two,dua
has,memiliki
look,melihat
more,lebih
day,hari
could,bisa
go,pergi
come,datang
did,melakukan
number,jumlah
sound,suara
no,tidak
most,sebagian besar
people,orang
my,saya
over,lebih dari
know,tahu
water,air
than,dari
call,panggilan
first,pertama
who,yang
may,mungkin
down,turun
side,sisi
been,berkunjung
now,sekarang
find,cari
head,kepala
stand,berdiri
own,sendiri
page,halaman
should,harus
country,negara
found,ditemukan
answer,jawaban
school,sekolah
grow,tumbuh
study,penelitian
still,masih
learn,belajar
plant,tanaman
cover,penutup
food,makanan
sun,sun
four,empat
between,antara
state,negara
keep,terus
eye,mata
never,tidak pernah
last,lalu
let,biarkan
thought,pikiran
city,kota
tree,pohon
cross,lintas
farm,pertanian
hard,keras
start,start
might,mungkin
story,cerita
saw,saw
far,jauh
sea,laut
draw,menarik
left,kiri
late,terlambat
run,Jumlah
don’t,tidak
while,sementara
press,pers
close,close
night,malam
real,nyata
life,hidup
few,beberapa
north,utara
book,book
carry,membawa
took,mengambil
science,ilmu
eat,makan
room,kamar
friend,teman
began,mulai
idea,ide
fish,ikan
mountain,gunung
stop,berhenti
once,sekali
base,dasar
hear,mendengar
horse,kuda
cut,cut
sure,yakin
watch,menonton
color,warna
face,wajah
wood,kayu
main,utama
open,terbuka
seem,tampak
together,bersama-sama
next,selanjutnya
white,putih
children,anak-anak
begin,mulai
got,mendapat
walk,berjalan
example,contoh
ease,kemudahan
paper,kertas
group,kelompok
always,selalu
music,musik
those,mereka
both,baik
mark,mark
often,sering
letter,surat
until,sampai
mile,mil
river,sungai
car,mobil
feet,kaki
care,perawatan
second,kedua
enough,cukup
plain,polos
girl,gadis
usual,biasa
young,muda
ready,siap
above,atas
ever,pernah
red,merah
list,daftar
though,meskipun
feel,merasa
talk,pembicaraan
bird,burung
soon,segera
body,tubuh
dog,anjing
family,keluarga
direct,langsung
pose,berpose
leave,meninggalkan
song,lagu
measure,mengukur
door,pintu
product,produk
black,hitam
short,pendek
numeral,angka
class,kelas
wind,angin
question,pertanyaan
happen,terjadi
complete,lengkap
ship,kapal
